gene,log2FC,pvalue,neglog10p
AL049569.1,0.0007601991244497025,0.4048150255049557,0.3927433760689165
ATP13A2,0.07037340233967687,1.4964689666127135e-30,10.0
SDHB,0.19123521917436268,7.398976816410606e-102,10.0
PADI2,0.009838960923142376,0.0029129449665120082,2.5356677053948733
PADI1,0.00025329280648429586,0.31737180895174844,0.49843165261899913
PADI3,0.01978266962163797,1.1896538058515085e-10,9.659624543649953
PADI4,0.0005065856129685917,0.15732549492643716,0.8032008930658616
PADI6,0.00025329280648429586,0.31737180895174844,0.49843165261899913
RCC2,0.17707431337366536,1.4587910298100899e-74,10.0
ARHGEF10L,0.39614138500842777,1.8091691705927516e-172,10.0
LINC02810,0.0,,
IGSF21,-0.002454583346191512,0.19086577222376108,0.7192719460101504
KLHDC7A,0.024805446531468933,3.8406581687644426e-15,9.999983320553802
PAX7,0.004454785913722392,0.005613723623910836,2.250748964721433
ALDH4A1,0.036860091314948815,1.1172437650869099e-19,9.999999999514786
IFFO2,0.2253441884716177,5.354967606842393e-106,10.0
AL137127.1,0.008613687227448857,0.0002658250382688697,3.57540395155271
UBR4,0.763313835627571,0.0,10.0
EMC1-AS1,0.1337851045086047,4.169460303732019e-68,10.0
EMC1,0.12668332887045883,7.53183092493862e-65,10.0
MRTO4,0.07474533674185185,1.1049766603416288e-34,10.0
AKR7A3,0.02244028036017022,2.862643380649906e-12,9.987742319302514
AKR7A2,0.07093818628581729,5.42015338089978e-38,10.0
SLC66A1,0.04448656539505369,2.361551112904989e-18,9.999999989743914
CAPZB,0.7755277306567726,0.0,10.0
MICOS10,0.08138597549267859,2.381983828615522e-41,10.0
AL031727.2,0.0024279303338531222,0.011797836648517624,1.9281976176352968
NBL1,-0.0010152563826179087,0.6901195154600087,0.16107569121422363
HTR6,0.0,,
TMCO4,0.5512521214217059,1.129041956177575e-287,10.0
AL391883.1,0.00025329280648429586,0.31737180895174844,0.49843165261899913
OTUD3,0.3930097872572044,2.466433209335188e-226,10.0
PLA2G5,0.001816218707895968,0.046818476708974,1.329582719734187
PLA2G2D,0.00033496315912318443,0.6479805330873082,0.18843804112990772
PLA2G2F,0.00014823093449509655,0.7548269620769703,0.12215259537045338
Z98257.1,0.013257756485193267,1.014057374829083e-09,8.953092442079685
PLA2G2C,0.02566993783591548,5.283955614969475e-17,9.999999770520784
UBXN10-AS1,0.0101322895283661,1.3369682978212044e-07,6.8735541767359285
UBXN10,0.02237706721062027,5.5209576756634534e-15,9.999976023447328
VWA5B1,-0.0002531645244855699,0.5638199207243171,0.24885958374778455
AL020998.1,-0.0006543300403887614,0.44614545948614603,0.35052352246217416
CAMK2N1,1.2828199872597524e-07,0.9997979079754883,8.77762773898245e-05
MUL1,0.03858984361583426,1.192397165664715e-21,9.999999999994822
CDA,0.055590961057786284,1.8905592278407248e-28,10.0
PINK1,0.08356964511951345,5.267793370065295e-37,10.0
PINK1-AS,0.015959985827565182,1.15150369261635e-07,6.93835767445863
DDOST,0.17092159843607269,1.7782931603916053e-84,10.0
KIF17,-0.0002531645244855699,0.5638199207243171,0.24885958374778455
HP1BP3,0.8030151886676554,0.0,10.0
EIF4G3,0.9388661251121803,0.0,10.0
